Threshold,Accuracy,Precision,Recall,Specificity,Negative Predictive Value,F1 Score,Balanced Accuracy,ROC AUC,PR AUC,Matthews Correlation Coefficient,Log Loss,True Negatives,False Positives,False Negatives,True Positives,False Positive Rate,False Negative Rate
0.43999999999999984,0.839609644087256,0.7061052631578948,0.7058080808080808,0.8898010735712031,0.8896606156274665,0.7059566407072195,0.7978045771896419,0.9050400994472673,0.7881839093508949,0.5956875114280809,0.3399088602122364,5636,698,699,1677,0.11019892642879697,0.29419191919191917
0.44999999999999984,0.8405281285878301,0.7118935165306999,0.6978114478114478,0.8940637827597095,0.8874784516533458,0.7047821466524974,0.7959376152855786,0.9050400994472673,0.7881839093508949,0.5956118046738332,0.3399088602122364,5663,671,718,1658,0.1059362172402905,0.3021885521885522
0.45999999999999985,0.8411021814006888,0.7177348551360843,0.6881313131313131,0.8984843700663088,0.8847947761194029,0.7026214009454232,0.793307841598811,0.9050400994472673,0.7881839093508949,0.594519412034417,0.3399088602122364,5691,643,741,1635,0.10151562993369119,0.31186868686868685
0.46999999999999986,0.8406429391504019,0.7231255645889793,0.6738215488215489,0.9032207136090937,0.8806958128078818,0.69760348583878,0.7885211312153213,0.9050400994472673,0.7881839093508949,0.590279979092186,0.3399088602122364,5721,613,775,1601,0.09677928639090622,0.3261784511784512
0.47999999999999976,0.8408725602755454,0.72895467160037,0.6632996632996633,0.9074834227976003,0.8778252901649358,0.6945791097399736,0.7853915430486318,0.9050400994472673,0.7881839093508949,0.5885063628869113,0.3399088602122364,5748,586,800,1576,0.09251657720239975,0.3367003367003367
0.48999999999999977,0.839150401836969,0.7313716184148078,0.6485690235690236,0.9106409851594569,0.8735423292442829,0.6874860584430069,0.7796050043642402,0.9050400994472673,0.7881839093508949,0.5816132167948213,0.3399088602122364,5768,566,835,1541,0.0893590148405431,0.3514309764309764
0.4999999999999998,0.8394948335246842,0.7383040935672515,0.6376262626262627,0.915219450584149,0.8706818864523881,0.6842818428184282,0.7764228566052058,0.9050400994472673,0.7881839093508949,0.5802372691055782,0.3399088602122364,5797,537,861,1515,0.08478054941585096,0.36237373737373735
0.5099999999999998,0.839150401836969,0.743871935967984,0.6258417508417509,0.9191664035364698,0.8675309193860825,0.6797714285714286,0.7725040771891103,0.9050400994472673,0.7881839093508949,0.5772517144003074,0.3399088602122364,5822,512,889,1487,0.08083359646353015,0.37415824915824913
0.5199999999999998,0.838691159586682,0.7491021036428938,0.6144781144781145,0.922797600252605,0.8645170832717054,0.6751445086705202,0.7686378573653598,0.9050400994472673,0.7881839093508949,0.5741800129071232,0.3399088602122364,5845,489,916,1460,0.07720239974739501,0.38552188552188554
0.5299999999999998,0.8382319173363949,0.7548761201897733,0.6026936026936027,0.926586675086833,0.8614413621018641,0.6702550901006319,0.7646401388902179,0.9050400994472673,0.7881839093508949,0.57114331671504,0.3399088602122364,5869,465,944,1432,0.07341332491316703,0.39730639730639733
